timestamp,z_window,person,device
0 days 00:00:59.293000,0.10495881067000001,9,glass
0 days 00:00:59.504000,0.10081235254,9,glass
0 days 00:00:59.733000,0.11681609484000002,9,glass
0 days 00:00:59.909000,0.12039243354000001,9,glass
0 days 00:01:00.082000,0.11900080384000003,9,glass
0 days 00:01:00.292000,0.11792640584000001,9,glass
0 days 00:01:00.504000,0.12242900154000001,9,glass
0 days 00:01:00.679000,0.12738948824,9,glass
0 days 00:01:00.889000,0.13466037964,9,glass
0 days 00:01:01.099000,0.12914473733999998,9,glass
0 days 00:01:01.311000,0.12330887082000003,9,glass
0 days 00:01:01.483000,0.11505486052000002,9,glass
0 days 00:01:01.696000,0.11118074291999999,9,glass
0 days 00:01:01.886000,0.10527305031999999,9,glass
0 days 00:01:02.097000,0.10626664412000002,9,glass
0 days 00:01:02.309000,0.11018565307000001,9,glass
0 days 00:01:02.484000,0.10663774537,9,glass
0 days 00:01:02.694000,0.10260650839000002,9,glass
0 days 00:01:02.905000,0.10408642429000001,9,glass
0 days 00:01:03.079000,0.10453832979000001,9,glass
0 days 00:01:03.288000,0.11229554319000001,9,glass
0 days 00:01:03.500000,0.11059566003000003,9,glass
0 days 00:01:03.674000,0.11205911588,9,glass
0 days 00:01:03.885000,0.11296891253000002,9,glass
0 days 00:01:04.077000,0.11557410323,9,glass
0 days 00:01:04.287000,0.12542474703,9,glass
0 days 00:01:04.498000,0.12887239783,9,glass
0 days 00:01:04.673000,0.13525294533,9,glass
0 days 00:01:04.882000,0.14301764103000003,9,glass
0 days 00:01:05.094000,0.14696059197,9,glass
0 days 00:01:05.305000,0.14222156897000002,9,glass
0 days 00:01:05.479000,0.14376732557,9,glass
0 days 00:01:05.689000,0.13936797992,9,glass
0 days 00:01:05.881000,0.13612084382,9,glass
0 days 00:01:06.092000,0.12400319032000003,9,glass
0 days 00:01:06.304000,0.12753912692000002,9,glass
0 days 00:01:06.477000,0.13339444632,9,glass
0 days 00:01:06.688000,0.11729792944000002,9,glass
0 days 00:01:06.880000,0.12238560794000002,9,glass
0 days 00:01:07.093000,0.11884817494,9,glass
0 days 00:01:07.303000,0.12917765894,9,glass
0 days 00:01:07.477000,0.14094366364,9,glass
0 days 00:01:07.688000,0.15058930373999999,9,glass
0 days 00:01:07.900000,0.15368081668,9,glass
0 days 00:01:08.072000,0.14866945318,9,glass
0 days 00:01:08.283000,0.15096339768000003,9,glass
0 days 00:01:08.495000,0.14419977788000002,9,glass
0 days 00:01:08.667000,0.14628871878000002,9,glass
0 days 00:01:08.878000,0.14970195248000004,9,glass
0 days 00:01:09.091000,0.14737957685000003,9,glass
0 days 00:01:09.265000,0.12345252315000002,9,glass
0 days 00:01:09.475000,0.11918336213,9,glass
0 days 00:01:09.686000,0.12013505773000002,9,glass
0 days 00:01:09.898000,0.11719617483000003,9,glass
0 days 00:01:10.070000,0.11248558313000002,9,glass
0 days 00:01:10.266000,0.10462212613,9,glass
0 days 00:01:10.475000,0.09874436073,9,glass
0 days 00:01:10.686000,0.10060285973000001,9,glass
0 days 00:01:10.897000,0.08051849973000001,9,glass
0 days 00:01:11.088000,0.07241263073000001,9,glass
0 days 00:01:11.263000,0.06993313563,9,glass
0 days 00:01:11.473000,0.059370217089999996,9,glass
0 days 00:01:11.662000,0.055216277290000004,9,glass
0 days 00:01:11.876000,0.05100697115,9,glass
0 days 00:01:12.087000,0.04478503978000001,9,glass
0 days 00:01:12.261000,0.038353615374000005,9,glass
0 days 00:01:12.471000,0.039004538953999995,9,glass
0 days 00:01:12.683000,0.04086752712400002,9,glass
0 days 00:01:12.895000,0.042844239895800024,9,glass
0 days 00:01:13.067000,0.04558859367580001,9,glass
0 days 00:01:13.278000,0.0415962622758,9,glass
0 days 00:01:13.490000,0.03885789415180001,9,glass
0 days 00:01:13.663000,0.03837306835180001,9,glass
0 days 00:01:13.874000,0.04063858178179999,9,glass
0 days 00:01:14.085000,0.04227561718180001,9,glass
0 days 00:01:14.259000,0.0478241794818,9,glass
0 days 00:01:14.469000,0.04578761168180002,9,glass
0 days 00:01:14.661000,0.04302530138180001,9,glass
0 days 00:01:14.872000,0.03939509305180001,9,glass
0 days 00:01:15.072000,0.038637926821800006,9,glass
0 days 00:01:15.264000,0.03463960992180001,9,glass
0 days 00:01:15.456000,0.03467103382180001,9,glass
0 days 00:01:15.653000,0.0312996986218,9,glass
0 days 00:01:15.880000,0.0317710570818,9,glass
0 days 00:01:16.053000,0.0270125810418,9,glass
0 days 00:01:16.253000,0.0206335297718,9,glass
0 days 00:01:16.483000,0.0245570278718,9,glass
0 days 00:01:16.652000,0.0301400071718,9,glass
0 days 00:01:16.878000,0.0312667783218,9,glass
0 days 00:01:17.083000,0.022924481921799997,9,glass
0 days 00:01:17.256000,0.0322184733418,9,glass
0 days 00:01:17.467000,0.0323052633418,9,glass
0 days 00:01:17.657000,0.0257750784418,9,glass
0 days 00:01:17.872000,0.026556187041800003,9,glass
0 days 00:01:18.081000,0.025335144241800004,9,glass
0 days 00:01:18.255000,0.025869350241800003,9,glass
0 days 00:01:18.465000,0.030262710241800005,9,glass
0 days 00:01:18.677000,0.032549173841800005,9,glass
0 days 00:01:18.852000,0.035199255741799995,9,glass
0 days 00:01:19.061000,0.033331778241799996,9,glass
0 days 00:01:19.272000,0.021471501241800004,9,glass
0 days 00:01:19.484000,0.007574657071800004,9,glass
0 days 00:01:19.657000,0.004227263771800001,9,glass
0 days 00:01:19.873000,0.005169980771800004,9,glass
0 days 00:01:20.061000,0.0016744459718000025,9,glass
0 days 00:01:20.272000,0.00011821497180000195,9,glass
0 days 00:01:20.484000,-0.010495580728199996,9,glass
0 days 00:01:20.656000,-0.013922281968200001,9,glass
0 days 00:01:20.868000,-0.0117270983682,9,glass
0 days 00:01:21.079000,-0.0096905306682,9,glass
0 days 00:01:21.251000,-0.013931260348199994,9,glass
0 days 00:01:21.463000,-0.013823521348199998,9,glass
0 days 00:01:21.674000,0.0042003282518000016,9,glass
0 days 00:01:21.850000,0.0145268197518,9,glass
0 days 00:01:22.058000,0.020820577451799997,9,glass
0 days 00:01:22.271000,0.022635681451799998,9,glass
0 days 00:01:22.482000,0.025143607451800002,9,glass
0 days 00:01:22.654000,0.031211412051800003,9,glass
0 days 00:01:22.865000,0.027724855851800005,9,glass
0 days 00:01:23.076000,0.028856116134800002,9,glass
0 days 00:01:23.249000,0.024331075134800005,9,glass
0 days 00:01:23.461000,0.0231025504248,9,glass
0 days 00:01:23.672000,0.026201545224800005,9,glass
0 days 00:01:23.845000,0.0223558585948,9,glass
0 days 00:01:24.056000,0.012283751394800002,9,glass
0 days 00:01:24.268000,0.005189432294799997,9,glass
0 days 00:01:24.479000,-0.0042960960051999985,9,glass
0 days 00:01:24.652000,-0.01199943990520001,9,glass
0 days 00:01:24.864000,-0.015357307805200004,9,glass
0 days 00:01:25.075000,-0.0211108740452,9,glass
0 days 00:01:25.247000,-0.031030351245199997,9,glass
0 days 00:01:25.459000,-0.0326688832452,9,glass
0 days 00:01:25.670000,-0.0306951630452,9,glass
0 days 00:01:25.843000,-0.0363529608452,9,glass
0 days 00:01:26.054000,-0.030868742545199997,9,glass
0 days 00:01:26.265000,-0.03953126324519999,9,glass
0 days 00:01:26.440000,-0.04878036364519999,9,glass
0 days 00:01:26.651000,-0.030160956645199986,9,glass
0 days 00:01:26.862000,-0.033108817445199994,9,glass
0 days 00:01:27.073000,-0.035553895945199976,9,glass
0 days 00:01:27.246000,-0.036985927945199996,9,glass
0 days 00:01:27.457000,-0.0458609340452,9,glass
0 days 00:01:27.660000,-0.057290254345200006,9,glass
0 days 00:01:27.839000,-0.053320368345199994,9,glass
0 days 00:01:28.053000,-0.05385008554519999,9,glass
0 days 00:01:28.266000,-0.05869984034519999,9,glass
0 days 00:01:28.437000,-0.04826411384519999,9,glass
0 days 00:01:28.667000,-0.04842422624519999,9,glass
0 days 00:01:28.841000,-0.05440524124519999,9,glass
0 days 00:01:29.052000,-0.05163096004519998,9,glass
0 days 00:01:29.263000,-0.02759916004519999,9,glass
0 days 00:01:29.436000,-0.01609801354519999,9,glass
0 days 00:01:29.647000,-0.005152022845200006,9,glass
0 days 00:01:29.858000,-0.0045040919451999955,9,glass
0 days 00:01:30.069000,0.0002858077548000007,9,glass
0 days 00:01:30.243000,0.014917373254800003,9,glass
0 days 00:01:30.454000,0.023213281954800002,9,glass
0 days 00:01:30.664000,0.020112790954799998,9,glass
0 days 00:01:30.838000,0.021586721654800006,9,glass
0 days 00:01:31.049000,0.026430491054800002,9,glass
0 days 00:01:31.261000,0.029306525854799998,9,glass
0 days 00:01:31.433000,0.0426437253948,9,glass
0 days 00:01:31.645000,0.0518314743948,9,glass
0 days 00:01:31.856000,0.053498437234799995,9,glass
0 days 00:01:32.067000,0.0504892250048,9,glass
0 days 00:01:32.240000,0.04799775891079999,9,glass
0 days 00:01:32.451000,0.04565144120080001,9,glass
0 days 00:01:32.662000,0.05832873833080001,9,glass
0 days 00:01:32.835000,0.06212654065900001,9,glass
0 days 00:01:33.046000,0.06195296105900001,9,glass
0 days 00:01:33.257000,0.06819584185900002,9,glass
0 days 00:01:33.432000,0.06720673728300001,9,glass
0 days 00:01:33.643000,0.064386068383,9,glass
0 days 00:01:33.853000,0.073121911553,9,glass
0 days 00:01:34.066000,0.070070800653,9,glass
0 days 00:01:34.236000,0.067651160653,9,glass
0 days 00:01:34.448000,0.07149535065300001,9,glass
0 days 00:01:34.656000,0.068098577253,9,glass
0 days 00:01:34.825000,0.059388172583000005,9,glass
0 days 00:01:35.025000,0.074404306713,9,glass
0 days 00:01:35.245000,0.07585279875300001,9,glass
0 days 00:01:35.425000,0.06968324075299999,9,glass
0 days 00:01:35.648000,0.068415810203,9,glass
0 days 00:01:35.836000,0.06532429720299998,9,glass
0 days 00:01:36.032000,0.063308678743,9,glass
0 days 00:01:36.235000,0.07922712661299998,9,glass
0 days 00:01:36.446000,0.07559991101299998,9,glass
0 days 00:01:36.657000,0.07229740901299998,9,glass
0 days 00:01:36.829000,0.076467809263,9,glass
0 days 00:01:37.041000,0.078782702973,9,glass
0 days 00:01:37.252000,0.07207893805299999,9,glass
0 days 00:01:37.426000,0.08692598125300002,9,glass
0 days 00:01:37.637000,0.09175478659300002,9,glass
0 days 00:01:37.849000,0.09106196449300001,9,glass
0 days 00:01:38.023000,0.09513809279299998,9,glass
0 days 00:01:38.233000,0.088491190593,9,glass
0 days 00:01:38.445000,0.078894931093,9,glass
0 days 00:01:38.655000,0.08213308809299999,9,glass
0 days 00:01:38.828000,0.074506059393,9,glass
0 days 00:01:39.039000,0.06749404129299999,9,glass
0 days 00:01:39.251000,0.07782202929300001,9,glass
0 days 00:01:39.423000,0.08731952789299999,9,glass
0 days 00:01:39.635000,0.08600720589300001,9,glass
0 days 00:01:39.846000,0.10455179419300001,9,glass
0 days 00:01:40.038000,0.108375035293,9,glass
0 days 00:01:40.249000,0.103176624793,9,glass
0 days 00:01:40.422000,0.11460744179299999,9,glass
0 days 00:01:40.634000,0.107966524833,9,glass
0 days 00:01:40.856000,0.095420907833,9,glass
0 days 00:01:41.033000,0.10496629143299999,9,glass
0 days 00:01:41.249000,0.111156799233,9,glass
0 days 00:01:41.423000,0.109542209533,9,glass
0 days 00:01:41.633000,0.10421660703300001,9,glass
0 days 00:01:41.818000,0.09288305403300001,9,glass
0 days 00:01:42.037000,0.080825255833,9,glass
0 days 00:01:42.215000,0.077410525833,9,glass
0 days 00:01:42.421000,0.073958386473,9,glass
0 days 00:01:42.632000,0.06383989147300001,9,glass
0 days 00:01:42.843000,0.066389716273,9,glass
