timestamp,y_window,person,device
0 days 00:00:04.323000,0.5745062071575999,7,watch
0 days 00:00:04.325000,0.6036157222875999,7,watch
0 days 00:00:04.368000,0.5930215104175999,7,watch
0 days 00:00:04.369000,0.5824279291575999,7,watch
0 days 00:00:04.408000,0.5640956668975999,7,watch
0 days 00:00:04.410000,0.5447379218976,7,watch
0 days 00:00:04.460000,0.5079045078975999,7,watch
0 days 00:00:04.464000,0.4725121077388,7,watch
0 days 00:00:04.498000,0.44553577058000005,7,watch
0 days 00:00:04.508000,0.41859930297000003,7,watch
0 days 00:00:04.540000,0.44362595036,7,watch
0 days 00:00:04.546000,0.4690424010999999,7,watch
0 days 00:00:04.581000,0.41903231796,7,watch
0 days 00:00:04.584000,0.36902223481999996,7,watch
0 days 00:00:04.626000,0.39510286918,7,watch
0 days 00:00:04.630000,0.42118350353999995,7,watch
0 days 00:00:04.668000,0.42075077114,7,watch
0 days 00:00:04.671000,0.4203180387399999,7,watch
0 days 00:00:04.707000,0.41355503522999987,7,watch
0 days 00:00:04.708000,0.40679203171999995,7,watch
0 days 00:00:04.750000,0.42943944821999996,7,watch
0 days 00:00:04.751000,0.45208686977000007,7,watch
0 days 00:00:04.816000,0.47026903432000006,7,watch
0 days 00:00:04.819000,0.48715185012,7,watch
0 days 00:00:04.867000,0.4728374229199999,7,watch
0 days 00:00:04.892000,0.46056838811999995,7,watch
0 days 00:00:04.948000,0.40772535631999995,7,watch
0 days 00:00:04.955000,0.3525684304599999,7,watch
0 days 00:00:04.967000,0.32720667959999994,7,watch
0 days 00:00:04.979000,0.2978612293999999,7,watch
0 days 00:00:04.979000,0.26851577919999997,7,watch
0 days 00:00:05.015000,0.2742189050999999,7,watch
0 days 00:00:05.016000,0.2799220309999999,7,watch
0 days 00:00:05.062000,0.31234413679999995,7,watch
0 days 00:00:05.096000,0.35865356159999995,7,watch
0 days 00:00:05.099000,0.3936987606,7,watch
0 days 00:00:05.137000,0.39635817259999995,7,watch
0 days 00:00:05.140000,0.39722053659999995,7,watch
0 days 00:00:05.177000,0.38773691659,7,watch
0 days 00:00:05.178000,0.40202431958000007,7,watch
0 days 00:00:05.223000,0.42117253378,7,watch
0 days 00:00:05.224000,0.43135490128000015,7,watch
0 days 00:00:05.268000,0.4318144828800001,7,watch
0 days 00:00:05.287000,0.42491072308,7,watch
0 days 00:00:05.310000,0.38767439798,7,watch
0 days 00:00:05.317000,0.3449720879799999,7,watch
0 days 00:00:05.349000,0.30238709898,7,watch
0 days 00:00:05.357000,0.25980210998000003,7,watch
0 days 00:00:05.393000,0.22613946157999998,7,watch
0 days 00:00:05.397000,0.19247681318,7,watch
0 days 00:00:05.434000,0.18948595947999997,7,watch
0 days 00:00:05.437000,0.18649510577999998,7,watch
