timestamp,y_window,person,device
0 days 00:00:04.253000,0.33855238469939997,1,watch
0 days 00:00:04.256000,0.3239098866994001,1,watch
0 days 00:00:04.296000,0.2953776886994,1,watch
0 days 00:00:04.300000,0.2668454906994,1,watch
0 days 00:00:04.340000,0.2187608654294,1,watch
0 days 00:00:04.347000,0.17067624015940006,1,watch
0 days 00:00:04.377000,0.10867551215940001,1,watch
0 days 00:00:04.379000,0.046674784159400004,1,watch
0 days 00:00:04.420000,0.005095199799399977,1,watch
0 days 00:00:04.421000,-0.03648438456060002,1,watch
0 days 00:00:04.470000,-0.03274538886060002,1,watch
0 days 00:00:04.497000,-0.02900639316060004,1,watch
0 days 00:00:04.519000,-0.012330219160600031,1,watch
0 days 00:00:04.530000,0.004345954839399959,1,watch
0 days 00:00:04.551000,0.03039838713939997,1,watch
0 days 00:00:04.554000,0.056450819439399974,1,watch
0 days 00:00:04.593000,0.09843415443939998,1,watch
0 days 00:00:04.594000,0.1404174894394,1,watch
0 days 00:00:04.640000,0.1347424564394,1,watch
0 days 00:00:04.640000,0.1290674234394,1,watch
0 days 00:00:04.752000,0.1002258658394,1,watch
0 days 00:00:04.834000,0.09156442423940003,1,watch
0 days 00:00:04.837000,0.05524667023940002,1,watch
0 days 00:00:04.839000,0.0246734402394,1,watch
0 days 00:00:04.855000,-0.020467820760600008,1,watch
0 days 00:00:04.866000,-0.07892116376059999,1,watch
0 days 00:00:04.866000,-0.1354731297606,1,watch
0 days 00:00:04.878000,-0.06564438576059999,1,watch
0 days 00:00:04.880000,-0.08763176176059999,1,watch
0 days 00:00:04.886000,-0.010986101760599993,1,watch
0 days 00:00:04.928000,-0.012851106760600008,1,watch
0 days 00:00:04.935000,-0.01423765476059997,1,watch
0 days 00:00:04.976000,-0.02795302196059999,1,watch
0 days 00:00:04.980000,-0.041668389160599964,1,watch
0 days 00:00:05.018000,-0.06229372786059997,1,watch
0 days 00:00:05.020000,-0.08291906656059998,1,watch
0 days 00:00:05.063000,-0.11364923316059997,1,watch
0 days 00:00:05.066000,-0.14437939976059996,1,watch
0 days 00:00:05.104000,-0.19375727776059995,1,watch
0 days 00:00:05.106000,-0.24313515576060005,1,watch
0 days 00:00:05.156000,-0.2670707927606,1,watch
0 days 00:00:05.162000,-0.29100642976060004,1,watch
0 days 00:00:05.202000,-0.3088990017606,1,watch
0 days 00:00:05.237000,-0.2975306269606,1,watch
0 days 00:00:05.257000,-0.2792727041606,1,watch
0 days 00:00:05.271000,-0.2123018651606,1,watch
0 days 00:00:05.272000,-0.14794279216060005,1,watch
0 days 00:00:05.314000,-0.12314075116059998,1,watch
0 days 00:00:05.319000,-0.11271066748059998,1,watch
0 days 00:00:05.359000,-0.0855311588006,1,watch
0 days 00:00:05.363000,-0.053797922000600025,1,watch
0 days 00:00:05.411000,-0.03434637520059999,1,watch
0 days 00:00:05.411000,-0.0172516819006,1,watch
0 days 00:00:05.442000,-0.006320461600599991,1,watch
