timestamp,x_window,person,device
0 days 00:00:02.146000,0.028243869215999987,2,watch
0 days 00:00:02.148000,0.01523934431599999,2,watch
0 days 00:00:02.189000,0.007101008065999992,2,watch
0 days 00:00:02.191000,-0.0010373281840000046,2,watch
0 days 00:00:02.231000,-0.010397907384000005,2,watch
0 days 00:00:02.233000,-0.019758486584000007,2,watch
0 days 00:00:02.274000,-0.023382073184000006,2,watch
0 days 00:00:02.279000,-0.027005659784000005,2,watch
0 days 00:00:02.315000,-0.03101431998400001,2,watch
0 days 00:00:02.316000,-0.035022980184000005,2,watch
0 days 00:00:02.358000,-0.037579987084,2,watch
0 days 00:00:02.360000,-0.04013699398399999,2,watch
0 days 00:00:02.402000,-0.04046234923399998,2,watch
0 days 00:00:02.403000,-0.04078770448399999,2,watch
0 days 00:00:02.448000,-0.052089457483999985,2,watch
0 days 00:00:02.449000,-0.063391210484,2,watch
0 days 00:00:02.488000,-0.058523234384000006,2,watch
0 days 00:00:02.490000,-0.05365525828400003,2,watch
0 days 00:00:02.533000,-0.053514318984000026,2,watch
0 days 00:00:02.534000,-0.053373379684000015,2,watch
0 days 00:00:02.576000,-0.053806423077000017,2,watch
0 days 00:00:02.579000,-0.05423946647000001,2,watch
0 days 00:00:02.617000,-0.04219932827,2,watch
0 days 00:00:02.618000,-0.030159190070000008,2,watch
0 days 00:00:02.660000,-0.01758567351,2,watch
0 days 00:00:02.661000,-0.005012156949999997,2,watch
0 days 00:00:02.702000,-0.008887122139999995,2,watch
0 days 00:00:02.704000,-0.01276208732999999,2,watch
0 days 00:00:02.745000,-0.007197958629999994,2,watch
0 days 00:00:02.748000,-0.001633829929999997,2,watch
0 days 00:00:02.788000,0.005351257940000004,2,watch
0 days 00:00:02.789000,0.012336345810000003,2,watch
0 days 00:00:02.831000,0.013807803910000003,2,watch
0 days 00:00:02.836000,0.015279262010000001,2,watch
0 days 00:00:02.873000,0.013055671910000004,2,watch
0 days 00:00:02.875000,0.010832081810000007,2,watch
0 days 00:00:02.919000,0.016664529810000005,2,watch
0 days 00:00:02.920000,0.022496977810000006,2,watch
0 days 00:00:02.961000,0.021464730670000005,2,watch
0 days 00:00:02.963000,0.02043248353000001,2,watch
0 days 00:00:03.003000,0.014630468580000005,2,watch
0 days 00:00:03.004000,0.008828453630000004,2,watch
0 days 00:00:03.057000,0.0017917279300000012,2,watch
0 days 00:00:03.059000,-0.005244997770000002,2,watch
0 days 00:00:03.090000,-0.00858660227,2,watch
0 days 00:00:03.091000,-0.011928206770000003,2,watch
0 days 00:00:03.132000,-0.01695216527,2,watch
0 days 00:00:03.133000,-0.02197612377,2,watch
0 days 00:00:03.174000,-0.021357992920000003,2,watch
0 days 00:00:03.176000,-0.02073986207,2,watch
0 days 00:00:03.220000,-0.020027587228,2,watch
0 days 00:00:03.221000,-0.019315312386,2,watch
0 days 00:00:03.262000,-0.016493249036000007,2,watch
0 days 00:00:03.263000,-0.013671185686000004,2,watch
0 days 00:00:03.304000,-0.015490995416000004,2,watch
0 days 00:00:03.304000,-0.017310805146000002,2,watch
0 days 00:00:03.348000,-0.017431116446000004,2,watch
0 days 00:00:03.350000,-0.017551427746000003,2,watch
0 days 00:00:03.391000,-0.018841857196,2,watch
0 days 00:00:03.391000,-0.020132286646000006,2,watch
0 days 00:00:03.432000,-0.022826536946000005,2,watch
0 days 00:00:03.435000,-0.025520787246,2,watch
0 days 00:00:03.477000,-0.025117965795999998,2,watch
0 days 00:00:03.478000,-0.024715144346000004,2,watch
0 days 00:00:03.517000,-0.02478824951600001,2,watch
0 days 00:00:03.518000,-0.024861354686000006,2,watch
0 days 00:00:03.560000,-0.02669085272600001,2,watch
0 days 00:00:03.561000,-0.02852035076600001,2,watch
0 days 00:00:03.614000,-0.030908879232999998,2,watch
0 days 00:00:03.619000,-0.0332974077,2,watch
0 days 00:00:03.652000,-0.036196826,2,watch
0 days 00:00:03.652000,-0.0390962443,2,watch
0 days 00:00:03.688000,-0.03589125664,2,watch
0 days 00:00:03.689000,-0.03268626898,2,watch
0 days 00:00:03.740000,-0.03395917065,2,watch
0 days 00:00:03.753000,-0.03523207232000001,2,watch
0 days 00:00:03.773000,-0.03268911792,2,watch
0 days 00:00:03.775000,-0.03014616352000001,2,watch
0 days 00:00:03.817000,-0.031132287220000006,2,watch
0 days 00:00:03.817000,-0.03211841092,2,watch
0 days 00:00:03.860000,-0.03051806644,2,watch
0 days 00:00:03.862000,-0.028917721959999993,2,watch
0 days 00:00:03.901000,-0.029520928259999996,2,watch
0 days 00:00:03.902000,-0.03012413455999999,2,watch
0 days 00:00:03.946000,-0.03212587039999999,2,watch
0 days 00:00:03.948000,-0.03412760623999999,2,watch
0 days 00:00:03.991000,-0.032732567739999996,2,watch
0 days 00:00:03.994000,-0.031337529239999995,2,watch
0 days 00:00:04.032000,-0.03264382151,2,watch
0 days 00:00:04.035000,-0.03395011377999999,2,watch
0 days 00:00:04.074000,-0.03036498918,2,watch
0 days 00:00:04.075000,-0.026779864580000003,2,watch
0 days 00:00:04.118000,-0.02300082288,2,watch
0 days 00:00:04.120000,-0.019221781179999998,2,watch
0 days 00:00:04.160000,-0.01677537718,2,watch
0 days 00:00:04.162000,-0.014328973180000003,2,watch
0 days 00:00:04.204000,-0.01097145648,2,watch
0 days 00:00:04.205000,-0.007613939779999999,2,watch
0 days 00:00:04.248000,-0.00937793654,2,watch
0 days 00:00:04.249000,-0.0111419333,2,watch
0 days 00:00:04.291000,-0.0123755858,2,watch
0 days 00:00:04.292000,-0.0136092383,2,watch
0 days 00:00:04.332000,-0.01564495035,2,watch
0 days 00:00:04.334000,-0.017680662399999998,2,watch
0 days 00:00:04.377000,-0.014809197799999998,2,watch
0 days 00:00:04.378000,-0.0119377332,2,watch
0 days 00:00:04.419000,-0.010465088,2,watch
0 days 00:00:04.419000,-0.008992442800000002,2,watch
0 days 00:00:04.461000,-0.006457865700000002,2,watch
0 days 00:00:04.462000,-0.003923288599999999,2,watch
0 days 00:00:04.505000,-0.0033959482899999995,2,watch
0 days 00:00:04.507000,-0.0028686079799999996,2,watch
0 days 00:00:04.547000,-0.003225092919999998,2,watch
