timestamp,y_window,person,device
0 days 00:00:39.497000,-0.168113361515,1,glass
0 days 00:00:39.684000,-0.17230620734500005,1,glass
0 days 00:00:39.909000,-0.172912239545,1,glass
0 days 00:00:40.110000,-0.17121534910500005,1,glass
0 days 00:00:40.283000,-0.17173758437500006,1,glass
0 days 00:00:40.493000,-0.176329962675,1,glass
0 days 00:00:40.705000,-0.18707843217499998,1,glass
0 days 00:00:40.876000,-0.18575563587499996,1,glass
0 days 00:00:41.088000,-0.185721219255,1,glass
0 days 00:00:41.281000,-0.183307564855,1,glass
0 days 00:00:41.491000,-0.18343326046500003,1,glass
0 days 00:00:41.703000,-0.18188002216499996,1,glass
0 days 00:00:41.876000,-0.17719337260499998,1,glass
0 days 00:00:42.087000,-0.18316690605499997,1,glass
0 days 00:00:42.298000,-0.18915091385499994,1,glass
0 days 00:00:42.471000,-0.182723978605,1,glass
0 days 00:00:42.683000,-0.18006192550500003,1,glass
0 days 00:00:42.894000,-0.18371009040500003,1,glass
0 days 00:00:43.068000,-0.18342278620500005,1,glass
0 days 00:00:43.278000,-0.183953999605,1,glass
0 days 00:00:43.491000,-0.18607286810500004,1,glass
0 days 00:00:43.701000,-0.18296339860500002,1,glass
0 days 00:00:43.875000,-0.17954417940500003,1,glass
0 days 00:00:44.086000,-0.17823784310500002,1,glass
0 days 00:00:44.297000,-0.181540345205,1,glass
0 days 00:00:44.470000,-0.17949330270499997,1,glass
0 days 00:00:44.700000,-0.18618958540499997,1,glass
0 days 00:00:44.874000,-0.192909810505,1,glass
0 days 00:00:45.085000,-0.19555989250500003,1,glass
0 days 00:00:45.296000,-0.19394829552499998,1,glass
0 days 00:00:45.468000,-0.19289035776500005,1,glass
0 days 00:00:45.679000,-0.19318963296499997,1,glass
0 days 00:00:45.892000,-0.189076095225,1,glass
0 days 00:00:46.065000,-0.207369292825,1,glass
0 days 00:00:46.301000,-0.18714427432499994,1,glass
0 days 00:00:46.468000,-0.183581402925,1,glass
0 days 00:00:46.679000,-0.18119767572499998,1,glass
0 days 00:00:46.891000,-0.18498949272499998,1,glass
0 days 00:00:47.064000,-0.18374899692500002,1,glass
