timestamp,x_window,y_window,z_window,device,person
0 days 00:00:02.146000,0.028243869215999987,0.003500982148000003,0.040462961138000006,Watch,2
0 days 00:00:02.148000,0.01523934431599999,0.007548418848000002,0.03722878447799999,Watch,2
0 days 00:00:02.189000,0.007101008065999992,0.011868184368,0.02729434967799997,Watch,2
0 days 00:00:02.191000,-0.0010373281840000046,0.016187949888000003,0.01735991487799998,Watch,2
0 days 00:00:02.231000,-0.010397907384000005,0.017207301388,0.014760141517999986,Watch,2
0 days 00:00:02.233000,-0.019758486584000007,0.018226652887999992,0.01216036815799999,Watch,2
0 days 00:00:02.274000,-0.023382073184000006,0.01859565808799999,0.010775575757999985,Watch,2
0 days 00:00:02.279000,-0.027005659784000005,0.018964663288,0.009390783357999997,Watch,2
0 days 00:00:02.315000,-0.03101431998400001,0.018814926888000003,0.008233079957999996,Watch,2
0 days 00:00:02.316000,-0.035022980184000005,0.018665190488000007,0.007075376557999997,Watch,2
0 days 00:00:02.358000,-0.037579987084,0.019013472328000006,0.008157444057999999,Watch,2
0 days 00:00:02.360000,-0.04013699398399999,0.019361754168,0.009239511558000008,Watch,2
0 days 00:00:02.402000,-0.04046234923399998,0.019072938668000004,0.010623473958000007,Watch,2
0 days 00:00:02.403000,-0.04078770448399999,0.01878412316800001,0.012007436358000003,Watch,2
0 days 00:00:02.448000,-0.052089457483999985,0.017708543008000004,-0.0026039981419999935,Watch,2
0 days 00:00:02.449000,-0.063391210484,0.016632962848000005,-0.017215432641999994,Watch,2
0 days 00:00:02.488000,-0.058523234384000006,0.012497442368000003,-0.013035964242000002,Watch,2
0 days 00:00:02.490000,-0.05365525828400003,0.008361921888000001,-0.008856495842000003,Watch,2
0 days 00:00:02.533000,-0.053514318984000026,0.002271778988000001,-0.011276329841999994,Watch,2
0 days 00:00:02.534000,-0.053373379684000015,-0.003818363911999997,-0.013696163841999995,Watch,2
0 days 00:00:02.576000,-0.053806423077000017,-0.008620917511999998,-0.0058836066419999935,Watch,2
0 days 00:00:02.579000,-0.05423946647000001,-0.013423471111999999,0.001928950558000011,Watch,2
0 days 00:00:02.617000,-0.04219932827,-0.015378515412,0.015351692258000023,Watch,2
0 days 00:00:02.618000,-0.030159190070000008,-0.017333559712,0.02877443395800001,Watch,2
0 days 00:00:02.660000,-0.01758567351,-0.012582583212000002,0.04185286565800001,Watch,2
0 days 00:00:02.661000,-0.005012156949999997,-0.007831606712000007,0.05493129735800002,Watch,2
0 days 00:00:02.702000,-0.008887122139999995,-0.005417353922000007,0.04984033561800003,Watch,2
0 days 00:00:02.704000,-0.01276208732999999,-0.0030031011320000084,0.04474937387800002,Watch,2
0 days 00:00:02.745000,-0.007197958629999994,0.004480686367999991,0.018712996678000013,Watch,2
0 days 00:00:02.748000,-0.001633829929999997,0.011964473867999991,-0.007323380521999994,Watch,2
0 days 00:00:02.788000,0.005351257940000004,0.011833694067999993,-0.013511429821999987,Watch,2
0 days 00:00:02.789000,0.012336345810000003,0.01170291426799999,-0.019699479121999982,Watch,2
0 days 00:00:02.831000,0.013807803910000003,0.0060768890879999956,-0.00665608012199999,Watch,2
0 days 00:00:02.836000,0.015279262010000001,0.00045086390799999916,0.006387318878000009,Watch,2
0 days 00:00:02.873000,0.013055671910000004,-0.002456042692,0.022306046278000004,Watch,2
0 days 00:00:02.875000,0.010832081810000007,-0.005362949291999998,0.03822477367800001,Watch,2
0 days 00:00:02.919000,0.016664529810000005,-0.005077154556999998,0.042683897277999996,Watch,2
0 days 00:00:02.920000,0.022496977810000006,-0.004791359821999999,0.047143020878,Watch,2
0 days 00:00:02.961000,0.021464730670000005,-0.006496636791999999,0.05294096012800001,Watch,2
0 days 00:00:02.963000,0.02043248353000001,-0.008201913762,0.058738899378000003,Watch,2
0 days 00:00:03.003000,0.014630468580000005,-0.011963622501999999,0.059401712578000004,Watch,2
0 days 00:00:03.004000,0.008828453630000004,-0.015725331242,0.060064525778000005,Watch,2
0 days 00:00:03.057000,0.0017917279300000012,-0.019966068322,0.060290222338,Watch,2
0 days 00:00:03.059000,-0.005244997770000002,-0.024206805402,0.06051591889799999,Watch,2
0 days 00:00:03.090000,-0.00858660227,-0.025099125072000003,0.05902859709799999,Watch,2
0 days 00:00:03.091000,-0.011928206770000003,-0.025991444742000002,0.057541275297999996,Watch,2
0 days 00:00:03.132000,-0.01695216527,-0.024223907142000005,0.057163124358,Watch,2
0 days 00:00:03.133000,-0.02197612377,-0.022456369542,0.056784973418,Watch,2
0 days 00:00:03.174000,-0.021357992920000003,-0.023424823432,0.059973745618,Watch,2
0 days 00:00:03.176000,-0.02073986207,-0.024393277321999998,0.063162517818,Watch,2
0 days 00:00:03.220000,-0.020027587228,-0.02425074593199999,0.062319469768,Watch,2
0 days 00:00:03.221000,-0.019315312386,-0.024108214541999993,0.061476421717999996,Watch,2
0 days 00:00:03.262000,-0.016493249036000007,-0.024588051041999997,0.060151596437999985,Watch,2
0 days 00:00:03.263000,-0.013671185686000004,-0.025067887541999997,0.05882677115799998,Watch,2
0 days 00:00:03.304000,-0.015490995416000004,-0.025409331541999997,0.06209573785800001,Watch,2
0 days 00:00:03.304000,-0.017310805146000002,-0.025750775542,0.06536470455800002,Watch,2
0 days 00:00:03.348000,-0.017431116446000004,-0.023249266342000002,0.06569707911800002,Watch,2
0 days 00:00:03.350000,-0.017551427746000003,-0.020747757142000004,0.06602945367800002,Watch,2
0 days 00:00:03.391000,-0.018841857196,-0.018333728542000004,0.063304090938,Watch,2
0 days 00:00:03.391000,-0.020132286646000006,-0.015919699941999998,0.06057872819800001,Watch,2
0 days 00:00:03.432000,-0.022826536946000005,-0.014076988941999997,0.05781959583800001,Watch,2
0 days 00:00:03.435000,-0.025520787246,-0.012234277941999999,0.055060463478000005,Watch,2
0 days 00:00:03.477000,-0.025117965795999998,-0.012532072282,0.055124054478000006,Watch,2
0 days 00:00:03.478000,-0.024715144346000004,-0.012829866621999999,0.055187645478000015,Watch,2
0 days 00:00:03.517000,-0.02478824951600001,-0.013359086722,0.05515233097799999,Watch,2
0 days 00:00:03.518000,-0.024861354686000006,-0.013888306822,0.05511701647799999,Watch,2
0 days 00:00:03.560000,-0.02669085272600001,-0.014729488076000002,0.05829490727799999,Watch,2
0 days 00:00:03.561000,-0.02852035076600001,-0.01557066933,0.061472798077999984,Watch,2
0 days 00:00:03.614000,-0.030908879232999998,-0.01579827323,0.06192501137799999,Watch,2
0 days 00:00:03.619000,-0.0332974077,-0.016025877129999998,0.06237722467799999,Watch,2
0 days 00:00:03.652000,-0.036196826,-0.015455582269999999,0.061923943278,Watch,2
0 days 00:00:03.652000,-0.0390962443,-0.014885287409999998,0.061470661877999995,Watch,2
0 days 00:00:03.688000,-0.03589125664,-0.01438704504,0.063196058978,Watch,2
0 days 00:00:03.689000,-0.03268626898,-0.01388880267,0.064921456078,Watch,2
0 days 00:00:03.740000,-0.03395917065,-0.013440530439999997,0.06541687080799999,Watch,2
0 days 00:00:03.753000,-0.03523207232000001,-0.012992258209999996,0.06591228553799999,Watch,2
0 days 00:00:03.773000,-0.03268911792,-0.01152873527,0.06603262013799999,Watch,2
0 days 00:00:03.775000,-0.03014616352000001,-0.01006521233,0.06615295473799998,Watch,2
0 days 00:00:03.817000,-0.031132287220000006,-0.010346667839999999,0.06276166983799998,Watch,2
0 days 00:00:03.817000,-0.03211841092,-0.010628123349999997,0.059370384937999995,Watch,2
0 days 00:00:03.860000,-0.03051806644,-0.011742141304999999,0.06322499348799998,Watch,2
0 days 00:00:03.862000,-0.028917721959999993,-0.012856159259999998,0.067079602038,Watch,2
0 days 00:00:03.901000,-0.029520928259999996,-0.013951289729699995,0.06964899130799998,Watch,2
0 days 00:00:03.902000,-0.03012413455999999,-0.015046420199399996,0.07221838057799998,Watch,2
0 days 00:00:03.946000,-0.03212587039999999,-0.015045724009399996,0.07214487137799998,Watch,2
0 days 00:00:03.948000,-0.03412760623999999,-0.015045027819399998,0.07207136217799999,Watch,2
0 days 00:00:03.991000,-0.032732567739999996,-0.015823237959399997,0.071905146278,Watch,2
0 days 00:00:03.994000,-0.031337529239999995,-0.016601448099399996,0.071738930378,Watch,2
0 days 00:00:04.032000,-0.03264382151,-0.0168066954994,0.073280831008,Watch,2
0 days 00:00:04.035000,-0.03395011377999999,-0.0170119428994,0.074822731638,Watch,2
0 days 00:00:04.074000,-0.03036498918,-0.016001629899400002,0.073511753688,Watch,2
