timestamp,y_window,person,device
0 days 00:00:39.534000,-0.12485163436600001,6,glass
0 days 00:00:39.698000,-0.12481123226600001,6,glass
0 days 00:00:39.924000,-0.127465803316,6,glass
0 days 00:00:40.117000,-0.12601731121600002,6,glass
0 days 00:00:40.290000,-0.12668768761600002,6,glass
0 days 00:00:40.500000,-0.12374581231599999,6,glass
0 days 00:00:40.712000,-0.12097751666499999,6,glass
0 days 00:00:40.916000,-0.12338967476499998,6,glass
0 days 00:00:41.085000,-0.12038195885500003,6,glass
0 days 00:00:41.285000,-0.11503989645500003,6,glass
0 days 00:00:41.505000,-0.11658116374700002,6,glass
0 days 00:00:41.685000,-0.12311733424700001,6,glass
0 days 00:00:41.919000,-0.12368894994700001,6,glass
0 days 00:00:42.088000,-0.12457630094700001,6,glass
0 days 00:00:42.292000,-0.12142493297700002,6,glass
0 days 00:00:42.483000,-0.11997045547699998,6,glass
0 days 00:00:42.684000,-0.113251726877,6,glass
0 days 00:00:42.914000,-0.10566210760699998,6,glass
0 days 00:00:43.092000,-0.110845554307,6,glass
0 days 00:00:43.302000,-0.111188224447,6,glass
0 days 00:00:43.514000,-0.11568184164700002,6,glass
0 days 00:00:43.686000,-0.118083525247,6,glass
0 days 00:00:43.917000,-0.127087220247,6,glass
0 days 00:00:44.089000,-0.12837260718699997,6,glass
0 days 00:00:44.300000,-0.12259360288699998,6,glass
0 days 00:00:44.511000,-0.11736975400699999,6,glass
0 days 00:00:44.684000,-0.12682685040699998,6,glass
0 days 00:00:44.894000,-0.125098535977,6,glass
0 days 00:00:45.107000,-0.12782792591699998,6,glass
0 days 00:00:45.318000,-0.130313406567,6,glass
0 days 00:00:45.490000,-0.135579153867,6,glass
0 days 00:00:45.701000,-0.11928511541699999,6,glass
0 days 00:00:45.913000,-0.110870992717,6,glass
0 days 00:00:46.085000,-0.117579246617,6,glass
0 days 00:00:46.296000,-0.11477204511699998,6,glass
0 days 00:00:46.508000,-0.111280999817,6,glass
0 days 00:00:46.680000,-0.107320092517,6,glass
0 days 00:00:46.892000,-0.10396521721700001,6,glass
0 days 00:00:47.103000,-0.142496899217,6,glass
0 days 00:00:47.314000,-0.133750581117,6,glass
0 days 00:00:47.487000,-0.140627925467,6,glass
0 days 00:00:47.698000,-0.138485114967,6,glass
0 days 00:00:47.909000,-0.141254907067,6,glass
0 days 00:00:48.082000,-0.143834659567,6,glass
0 days 00:00:48.294000,-0.142239522677,6,glass
0 days 00:00:48.504000,-0.14442572807699997,6,glass
0 days 00:00:48.677000,-0.143619181477,6,glass
0 days 00:00:48.891000,-0.147985606847,6,glass
0 days 00:00:49.100000,-0.14783896204699998,6,glass
0 days 00:00:49.309000,-0.147385560147,6,glass
0 days 00:00:49.483000,-0.148642516047,6,glass
0 days 00:00:49.694000,-0.149752827047,6,glass
0 days 00:00:49.904000,-0.153324676647,6,glass
0 days 00:00:50.077000,-0.15266627114700002,6,glass
0 days 00:00:50.289000,-0.153956147347,6,glass
0 days 00:00:50.500000,-0.15405041904699998,6,glass
0 days 00:00:50.676000,-0.154931784447,6,glass
0 days 00:00:50.885000,-0.15549142904700003,6,glass
0 days 00:00:51.106000,-0.15405790094700003,6,glass
0 days 00:00:51.287000,-0.153161571747,6,glass
0 days 00:00:51.499000,-0.153004452247,6,glass
0 days 00:00:51.672000,-0.150031153047,6,glass
0 days 00:00:51.882000,-0.151280627077,6,glass
0 days 00:00:52.093000,-0.151392855177,6,glass
0 days 00:00:52.305000,-0.14838364297699996,6,glass
0 days 00:00:52.476000,-0.15022717831699997,6,glass
0 days 00:00:52.688000,-0.150194258117,6,glass
0 days 00:00:52.900000,-0.146139079017,6,glass
0 days 00:00:53.072000,-0.14685135401699997,6,glass
0 days 00:00:53.283000,-0.150207725517,6,glass
0 days 00:00:53.494000,-0.15518766501700001,6,glass
0 days 00:00:53.706000,-0.158578453217,6,glass
0 days 00:00:53.892000,-0.168990237617,6,glass
0 days 00:00:54.070000,-0.166579575797,6,glass
0 days 00:00:54.281000,-0.176382334497,6,glass
0 days 00:00:54.492000,-0.162463044497,6,glass
0 days 00:00:54.703000,-0.15837195224700001,6,glass
0 days 00:00:54.877000,-0.157804825647,6,glass
0 days 00:00:55.088000,-0.160824512647,6,glass
0 days 00:00:55.299000,-0.164875202147,6,glass
0 days 00:00:55.472000,-0.16226851488699995,6,glass
0 days 00:00:55.682000,-0.16196774328699998,6,glass
0 days 00:00:55.894000,-0.162888014587,6,glass
0 days 00:00:56.088000,-0.16457742312700002,6,glass
0 days 00:00:56.280000,-0.16475249932700003,6,glass
0 days 00:00:56.490000,-0.16188693918699998,6,glass
0 days 00:00:56.700000,-0.15503203998699996,6,glass
0 days 00:00:56.873000,-0.154505315687,6,glass
0 days 00:00:57.087000,-0.168340808387,6,glass
0 days 00:00:57.295000,-0.17135450984699996,6,glass
