timestamp,window,person,device
0 days 00:00:30.229000,1.2868342,2,Watch
0 days 00:00:30.274000,1.0383404299999999,2,Watch
0 days 00:00:30.275000,0.9555091733333333,2,Watch
0 days 00:00:30.317000,0.918444005,2,Watch
0 days 00:00:30.318000,0.896204904,2,Watch
0 days 00:00:30.360000,0.8103500733333333,2,Watch
0 days 00:00:30.361000,0.7490251942857142,2,Watch
0 days 00:00:30.409000,0.6973041825,2,Watch
0 days 00:00:30.410000,0.6570767288888889,2,Watch
0 days 00:00:30.445000,0.609634333,2,Watch
0 days 00:00:30.446000,0.5708178272727272,2,Watch
0 days 00:00:30.489000,0.5315699345833332,2,Watch
0 days 00:00:30.490000,0.49836017923076914,2,Watch
0 days 00:00:30.530000,0.5282349199999999,2,Watch
0 days 00:00:30.532000,0.554126362,2,Watch
0 days 00:00:30.574000,0.495190464375,2,Watch
0 days 00:00:30.575000,0.44318820176470586,2,Watch
0 days 00:00:30.618000,0.41471552777777776,2,Watch
0 days 00:00:30.620000,0.38923997736842103,2,Watch
0 days 00:00:30.659000,0.37231302515,2,Watch
0 days 00:00:30.662000,0.35699816361904757,2,Watch
0 days 00:00:30.701000,0.3000936016363636,2,Watch
0 days 00:00:30.706000,0.2481372624347826,2,Watch
0 days 00:00:30.746000,0.18782760983333333,2,Watch
0 days 00:00:30.747000,0.13234272943999997,2,Watch
0 days 00:00:30.791000,0.14153799984615384,2,Watch
0 days 00:00:30.792000,0.1500521391111111,2,Watch
0 days 00:00:30.830000,0.1305386377142857,2,Watch
0 days 00:00:30.831000,0.11237089503448275,2,Watch
0 days 00:00:30.873000,0.08446020386666667,2,Watch
0 days 00:00:30.876000,0.05835020245161291,2,Watch
0 days 00:00:30.916000,0.054486985187499996,2,Watch
0 days 00:00:30.917000,0.0508579023030303,2,Watch
0 days 00:00:30.958000,0.0571994928235294,2,Watch
0 days 00:00:30.959000,0.06317870674285714,2,Watch
0 days 00:00:31.004000,0.05017606877777778,2,Watch
0 days 00:00:31.007000,0.037876276108108106,2,Watch
0 days 00:00:31.046000,0.03818847902631578,2,Watch
0 days 00:00:31.046000,0.03848467153846153,2,Watch
0 days 00:00:31.087000,0.04909756374999998,2,Watch
0 days 00:00:31.095000,0.05919275390243901,2,Watch
0 days 00:00:31.132000,0.07768945261904761,2,Watch
0 days 00:00:31.133000,0.09532583976744184,2,Watch
0 days 00:00:31.173000,0.09553031386363635,2,Watch
0 days 00:00:31.174000,0.09572570022222221,2,Watch
0 days 00:00:31.215000,0.09881352304347824,2,Watch
0 days 00:00:31.219000,0.10176994914893614,2,Watch
0 days 00:00:31.259000,0.100436395625,2,Watch
0 days 00:00:31.260000,0.09915727285714285,2,Watch
0 days 00:00:31.301000,0.09712936371599998,2,Watch
0 days 00:00:31.302000,0.09518098042352939,2,Watch
0 days 00:00:31.344000,0.08829066810769227,2,Watch
0 days 00:00:31.345000,0.08166036757735846,2,Watch
0 days 00:00:31.390000,0.08295408317777773,2,Watch
0 days 00:00:31.392000,0.08420075457454541,2,Watch
0 days 00:00:31.432000,0.08038401163571429,2,Watch
0 days 00:00:31.433000,0.07670118950175439,2,Watch
0 days 00:00:31.474000,0.07664761192413794,2,Watch
0 days 00:00:31.475000,0.07659585053559323,2,Watch
0 days 00:00:31.518000,0.07814676219333334,2,Watch
0 days 00:00:31.519000,0.0796468242885246,2,Watch
0 days 00:00:31.559000,0.0787522720419355,2,Watch
0 days 00:00:31.560000,0.0778861182793651,2,Watch
0 days 00:00:31.604000,0.076112135525,2,Watch
0 days 00:00:31.605000,0.07439273685538463,2,Watch
0 days 00:00:31.648000,0.07469131841818183,2,Watch
0 days 00:00:31.650000,0.07498098709850747,2,Watch
0 days 00:00:31.689000,0.07732634272941177,2,Watch
0 days 00:00:31.689000,0.07960371703768117,2,Watch
0 days 00:00:31.732000,0.08142123565142857,2,Watch
0 days 00:00:31.733000,0.08318755655774648,2,Watch
0 days 00:00:31.777000,0.07661645605000002,2,Watch
0 days 00:00:31.778000,0.0702253856931507,2,Watch
0 days 00:00:31.817000,0.06940082442702704,2,Watch
0 days 00:00:31.818000,0.06859825146133336,2,Watch
0 days 00:00:31.862000,0.06565471512631581,2,Watch
0 days 00:00:31.863000,0.0627876342805195,2,Watch
0 days 00:00:31.905000,0.06159840435384618,2,Watch
0 days 00:00:31.906000,0.060439281513924074,2,Watch
0 days 00:00:31.946000,0.056995181995,2,Watch
0 days 00:00:31.947000,0.05363612197037037,2,Watch
0 days 00:00:31.989000,0.0507957640195122,2,Watch
0 days 00:00:31.990000,0.04802384842891566,2,Watch
0 days 00:00:32.038000,0.04908493154285714,2,Watch
0 days 00:00:32.039000,0.05012104799529411,2,Watch
0 days 00:00:32.075000,0.05056110604186047,2,Watch
0 days 00:00:32.076000,0.05099104781149426,2,Watch
0 days 00:00:32.118000,0.05154846363181817,2,Watch
0 days 00:00:32.119000,0.05209335325393257,2,Watch
0 days 00:00:32.161000,0.04835936488444443,2,Watch
0 days 00:00:32.162000,0.044707442193406575,2,Watch
0 days 00:00:32.204000,0.04123231097391302,2,Watch
0 days 00:00:32.206000,0.03783191375913977,2,Watch
0 days 00:00:32.246000,0.0359540827617021,2,Watch
