timestamp,y_window,person,device
0 days 00:00:04.249000,-0.010868530199400001,2,watch
0 days 00:00:04.291000,-0.007886440699400003,2,watch
0 days 00:00:04.292000,-0.004904351199400001,2,watch
0 days 00:00:04.332000,-0.005767967669400001,2,watch
0 days 00:00:04.334000,-0.0066315841394,2,watch
0 days 00:00:04.377000,-0.004673309339399999,2,watch
0 days 00:00:04.378000,-0.0027150345393999993,2,watch
0 days 00:00:04.419000,-0.000969357539399999,2,watch
0 days 00:00:04.419000,0.0007763194606000011,2,watch
0 days 00:00:04.461000,0.002517499860600001,2,watch
0 days 00:00:04.462000,0.004258680260600002,2,watch
0 days 00:00:04.505000,0.0063413023206000015,2,watch
0 days 00:00:04.507000,0.0084239243806,2,watch
0 days 00:00:04.547000,0.0103758310306,2,watch
0 days 00:00:04.548000,0.0123277376806,2,watch
0 days 00:00:04.590000,0.013199670140599999,2,watch
0 days 00:00:04.591000,0.014071602600600001,2,watch
0 days 00:00:04.634000,0.0168031141806,2,watch
0 days 00:00:04.635000,0.019534625760600003,2,watch
0 days 00:00:04.675000,0.0214698788606,2,watch
0 days 00:00:04.677000,0.023405131960599998,2,watch
0 days 00:00:04.720000,0.0260236450606,2,watch
0 days 00:00:04.723000,0.028642158160600003,2,watch
0 days 00:00:04.762000,0.031777925160600004,2,watch
0 days 00:00:04.764000,0.03491369216060001,2,watch
0 days 00:00:04.805000,0.036904875944600006,2,watch
0 days 00:00:04.807000,0.03889605972860001,2,watch
0 days 00:00:04.847000,0.038932814338600005,2,watch
0 days 00:00:04.849000,0.03896956894860001,2,watch
0 days 00:00:04.891000,0.0375856063486,2,watch
0 days 00:00:04.892000,0.03620164374859999,2,watch
0 days 00:00:04.935000,0.0338537596486,2,watch
0 days 00:00:04.936000,0.031505875548599994,2,watch
0 days 00:00:04.977000,0.029721720188599993,2,watch
0 days 00:00:04.980000,0.027937564828599992,2,watch
0 days 00:00:05.020000,0.024755201328599995,2,watch
0 days 00:00:05.023000,0.021572837828599995,2,watch
0 days 00:00:05.062000,0.017998187513599998,2,watch
0 days 00:00:05.064000,0.014423537198599998,2,watch
0 days 00:00:05.108000,0.011611771568599999,2,watch
0 days 00:00:05.112000,0.008800005938599998,2,watch
0 days 00:00:05.151000,0.006086935978600001,2,watch
0 days 00:00:05.153000,0.0033738660185999997,2,watch
0 days 00:00:05.190000,0.0016276906985999984,2,watch
0 days 00:00:05.194000,-0.00011848462140000293,2,watch
0 days 00:00:05.234000,-0.0024810363514000022,2,watch
0 days 00:00:05.235000,-0.004843588081400001,2,watch
0 days 00:00:05.278000,-0.0083189155814,2,watch
0 days 00:00:05.279000,-0.011794243081400002,2,watch
0 days 00:00:05.321000,-0.010817458841400002,2,watch
0 days 00:00:05.322000,-0.0098406746014,2,watch
0 days 00:00:05.362000,-0.007664327851399999,2,watch
0 days 00:00:05.363000,-0.005487981101399999,2,watch
0 days 00:00:05.408000,-0.0027128770013999997,2,watch
0 days 00:00:05.409000,6.222709859999953e-05,2,watch
0 days 00:00:05.447000,0.0015697048486000003,2,watch
0 days 00:00:05.491000,0.0032076643486000003,2,watch
0 days 00:00:05.497000,0.0032459043486,2,watch
0 days 00:00:05.536000,0.0029445432785999994,2,watch
0 days 00:00:05.539000,0.0022159266085999994,2,watch
0 days 00:00:05.576000,0.0016456151085999981,2,watch
0 days 00:00:05.578000,0.0014880824085999984,2,watch
0 days 00:00:05.620000,0.00020684240859999834,2,watch
0 days 00:00:05.621000,0.000305857638599998,2,watch
0 days 00:00:05.665000,0.0005208849685999974,2,watch
0 days 00:00:05.665000,0.0006991791485999962,2,watch
0 days 00:00:05.705000,0.00023474452859999592,2,watch
0 days 00:00:05.706000,0.0001563000285999966,2,watch
0 days 00:00:05.748000,0.0013113116585999958,2,watch
0 days 00:00:05.749000,0.0014104794885999943,2,watch
0 days 00:00:05.793000,0.002212569688599994,2,watch
0 days 00:00:05.795000,0.0031209397285999947,2,watch
0 days 00:00:05.847000,0.004224073868599993,2,watch
0 days 00:00:05.853000,0.005151185968599994,2,watch
0 days 00:00:05.877000,0.005610141768599995,2,watch
0 days 00:00:05.878000,0.0061736941685999955,2,watch
0 days 00:00:05.919000,0.005296084908599995,2,watch
0 days 00:00:05.920000,0.004462640308599997,2,watch
0 days 00:00:05.963000,0.0036413812685999946,2,watch
0 days 00:00:05.965000,0.002568032728599998,2,watch
0 days 00:00:06.005000,0.0014148830885999963,2,watch
0 days 00:00:06.005000,0.0008088659435999982,2,watch
0 days 00:00:06.053000,0.0007973074085999958,2,watch
0 days 00:00:06.055000,0.0006722377882999995,2,watch
0 days 00:00:06.090000,0.0005877684679999979,2,watch
0 days 00:00:06.092000,0.00015431871799999892,2,watch
0 days 00:00:06.137000,0.0012779282579999992,2,watch
0 days 00:00:06.139000,0.0036238454579999996,2,watch
0 days 00:00:06.178000,0.004940488197999999,2,watch
0 days 00:00:06.179000,0.006609260897999998,2,watch
0 days 00:00:06.220000,0.008022730207999998,2,watch
0 days 00:00:06.222000,0.009177348458,2,watch
0 days 00:00:06.267000,0.010090894533999998,2,watch
0 days 00:00:06.268000,0.010799000109999997,2,watch
0 days 00:00:06.305000,0.01105642305,2,watch
0 days 00:00:06.306000,0.010796263090000001,2,watch
0 days 00:00:06.351000,0.010085382340000002,2,watch
0 days 00:00:06.353000,0.00850768554,2,watch
0 days 00:00:06.390000,0.00724672305,2,watch
0 days 00:00:06.391000,0.00419196351,2,watch
0 days 00:00:06.435000,0.0022341416300000003,2,watch
0 days 00:00:06.436000,0.00021048764999999941,2,watch
0 days 00:00:06.476000,-0.002414198110000001,2,watch
0 days 00:00:06.477000,-0.0015746762200000014,2,watch
0 days 00:00:06.521000,0.0009055517299999984,2,watch
0 days 00:00:06.521000,0.0016279171299999984,2,watch
0 days 00:00:06.567000,0.001339976649999998,2,watch
