timestamp,x_window,person,device
0 days 00:00:19.715000,0.10929680615399988,8,glass
0 days 00:00:19.909000,0.12048221695399994,8,glass
0 days 00:00:20.124000,0.12061389795399989,8,glass
0 days 00:00:20.329000,0.12034455019399987,8,glass
0 days 00:00:20.540000,0.1474109991939999,8,glass
0 days 00:00:20.712000,0.15815946767399988,8,glass
0 days 00:00:20.912000,0.1464338646739999,8,glass
0 days 00:00:21.125000,0.13137283992399992,8,glass
0 days 00:00:21.347000,0.1299078883239999,8,glass
0 days 00:00:21.511000,0.11154136872399993,8,glass
0 days 00:00:21.726000,0.12613253172399988,8,glass
0 days 00:00:21.905000,0.10700435618399987,8,glass
0 days 00:00:22.116000,0.0804302139839999,8,glass
0 days 00:00:22.305000,0.057930703683999926,8,glass
0 days 00:00:22.505000,0.02744353794399988,8,glass
0 days 00:00:22.717000,-0.0038112683560000715,8,glass
0 days 00:00:22.906000,-0.007119755856000065,8,glass
0 days 00:00:23.114000,-0.011558007156000083,8,glass
0 days 00:00:23.309000,0.007989152143999971,8,glass
0 days 00:00:23.523000,-0.032929250856000056,8,glass
0 days 00:00:23.717000,-0.026116250856000067,8,glass
0 days 00:00:23.911000,0.020486885343999915,8,glass
0 days 00:00:24.107000,0.07130381794399994,8,glass
0 days 00:00:24.304000,0.07466168581399991,8,glass
0 days 00:00:24.528000,0.02952948581399988,8,glass
0 days 00:00:24.724000,0.01375019991399988,8,glass
0 days 00:00:24.930000,0.26027515791399997,8,glass
0 days 00:00:25.113000,0.32770635161399997,8,glass
0 days 00:00:25.307000,0.3623504511009999,8,glass
0 days 00:00:25.504000,0.3410076393309999,8,glass
0 days 00:00:25.708000,0.263776678911,8,glass
0 days 00:00:25.903000,0.197530612031,8,glass
0 days 00:00:26.132000,0.16745495023100002,8,glass
0 days 00:00:26.327000,0.14241908153100002,8,glass
0 days 00:00:26.522000,0.137461587231,8,glass
0 days 00:00:26.717000,0.130026093831,8,glass
0 days 00:00:26.912000,0.12607715773099998,8,glass
0 days 00:00:27.123000,0.103806592581,8,glass
0 days 00:00:27.318000,-0.06405986155899998,8,glass
0 days 00:00:27.512000,-0.12698247671899998,8,glass
0 days 00:00:27.709000,-0.129988696219,8,glass
0 days 00:00:27.900000,-0.12194268221899998,8,glass
0 days 00:00:28.132000,-0.103947263519,8,glass
0 days 00:00:28.309000,-0.107921638319,8,glass
0 days 00:00:28.504000,-0.104252524235,8,glass
0 days 00:00:28.699000,-0.105006697635,8,glass
0 days 00:00:28.911000,-0.102220445735,8,glass
0 days 00:00:29.106000,-0.100203330735,8,glass
0 days 00:00:29.298000,-0.09339332373499999,8,glass
0 days 00:00:29.497000,-0.08023119963499997,8,glass
0 days 00:00:29.708000,-0.07425467378500002,8,glass
0 days 00:00:29.903000,-0.057459348385000004,8,glass
0 days 00:00:30.098000,-0.072230075985,8,glass
0 days 00:00:30.329000,-0.05900360778499998,8,glass
0 days 00:00:30.523000,-0.04443489028499999,8,glass
0 days 00:00:30.717000,-0.03278709918499999,8,glass
