timestamp,y_window,person,device
0 days 00:00:39.494000,0.06434416359,5,glass
0 days 00:00:39.709000,0.08185775019,5,glass
0 days 00:00:39.895000,0.07408108364,5,glass
0 days 00:00:40.072000,0.09386616763999997,5,glass
0 days 00:00:40.280000,0.06114640763999999,5,glass
0 days 00:00:40.492000,0.030455735640000002,5,glass
0 days 00:00:40.703000,0.02200569959,5,glass
0 days 00:00:40.875000,0.012852367089999994,5,glass
0 days 00:00:41.085000,0.0050412841899999975,5,glass
0 days 00:00:41.297000,-0.007110785510000004,5,glass
0 days 00:00:41.469000,-0.01771261020999999,5,glass
0 days 00:00:41.680000,0.006392513390000005,5,glass
0 days 00:00:41.891000,0.0054168760900000145,5,glass
0 days 00:00:42.102000,-0.0025213979100000105,5,glass
0 days 00:00:42.275000,0.03124732139,5,glass
0 days 00:00:42.486000,0.031069252589999992,5,glass
0 days 00:00:42.697000,-0.009298484610000006,5,glass
0 days 00:00:42.869000,-8.828961000001078e-05,5,glass
0 days 00:00:43.081000,0.0004788368899999873,5,glass
0 days 00:00:43.291000,0.006956649089999989,5,glass
0 days 00:00:43.501000,0.007234974989999979,5,glass
0 days 00:00:43.674000,0.03522319199,5,glass
0 days 00:00:43.884000,0.029923027789999987,5,glass
0 days 00:00:44.096000,0.037517136490000005,5,glass
0 days 00:00:44.269000,0.03479223589,5,glass
0 days 00:00:44.480000,0.03806181749000001,5,glass
0 days 00:00:44.691000,0.03236661029000001,5,glass
0 days 00:00:44.865000,0.009121905290000008,5,glass
0 days 00:00:45.076000,-0.007552212309999988,5,glass
0 days 00:00:45.283000,-0.020148705809999994,5,glass
0 days 00:00:45.498000,-0.03216610180999999,5,glass
0 days 00:00:45.670000,-0.03520374512999999,5,glass
0 days 00:00:45.869000,-0.04332757056999999,5,glass
0 days 00:00:46.062000,-0.04819528176999998,5,glass
0 days 00:00:46.272000,-0.04775534726999999,5,glass
0 days 00:00:46.492000,-0.049748520235999995,5,glass
0 days 00:00:46.658000,-0.049836806475999994,5,glass
0 days 00:00:46.859000,-0.050734632175999966,5,glass
0 days 00:00:47.077000,-0.05576395227599997,5,glass
0 days 00:00:47.268000,-0.05879561017599998,5,glass
0 days 00:00:47.461000,-0.056696194555999974,5,glass
0 days 00:00:47.657000,-0.06311864085599998,5,glass
0 days 00:00:47.882000,-0.05897068650599998,5,glass
0 days 00:00:48.075000,-0.06255151440599999,5,glass
0 days 00:00:48.266000,-0.059323831005999986,5,glass
0 days 00:00:48.457000,-0.04672733680600001,5,glass
0 days 00:00:48.663000,-0.060883054506,5,glass
0 days 00:00:48.873000,-0.056407393506,5,glass
0 days 00:00:49.084000,-0.059482446405999985,5,glass
0 days 00:00:49.258000,-0.071751233906,5,glass
0 days 00:00:49.468000,-0.09366416440599998,5,glass
0 days 00:00:49.679000,-0.103894887506,5,glass
0 days 00:00:49.890000,-0.134534684036,5,glass
0 days 00:00:50.062000,-0.10619182463599998,5,glass
0 days 00:00:50.274000,-0.11217732883599998,5,glass
0 days 00:00:50.485000,-0.135254439836,5,glass
0 days 00:00:50.658000,-0.143170269336,5,glass
0 days 00:00:50.869000,-0.158708637756,5,glass
0 days 00:00:51.080000,-0.167347216456,5,glass
0 days 00:00:51.289000,-0.15843929045600003,5,glass
0 days 00:00:51.464000,-0.160468376436,5,glass
0 days 00:00:51.676000,-0.153059818536,5,glass
0 days 00:00:51.884000,-0.143714949436,5,glass
0 days 00:00:52.059000,-0.156912986036,5,glass
0 days 00:00:52.268000,-0.133922663636,5,glass
0 days 00:00:52.479000,-0.135308307916,5,glass
0 days 00:00:52.652000,-0.13513472831599999,5,glass
